,Id,Date,Price,Size,Symbol
1595361855,18001,1595361855,26732.0,1,MYM
1595361867,18001,1595361867,26730.0,1,MYM
1595361869,18001,1595361869,26729.0,1,MYM
1595361873,18001,1595361873,26730.0,1,MYM
1595361874,18001,1595361874,26729.0,1,MYM
1595361875,18001,1595361875,26731.0,1,MYM
1595361881,18001,1595361881,26729.0,1,MYM
1595361884,18001,1595361884,26731.0,1,MYM
1595361885,18001,1595361885,26731.0,1,MYM
1595361886,18001,1595361886,26733.0,1,MYM
1595361898,18001,1595361898,26733.0,1,MYM
1595361900,18001,1595361900,26723.0,1,MYM
1595361901,18001,1595361901,26725.0,1,MYM
1595361904,18001,1595361904,26725.0,1,MYM
1595361906,18001,1595361906,26725.0,1,MYM
1595361907,18001,1595361907,26726.0,3,MYM
1595361909,18001,1595361909,26728.0,1,MYM
1595361910,18001,1595361910,26726.0,1,MYM
1595361912,18001,1595361912,26731.0,1,MYM
1595361913,18001,1595361913,26728.0,1,MYM
1595361914,18001,1595361914,26726.0,1,MYM
1595361916,18001,1595361916,26723.0,1,MYM
1595361917,18001,1595361917,26727.0,1,MYM
1595361921,18001,1595361921,26728.0,1,MYM
1595361928,18001,1595361928,26730.0,1,MYM
1595361930,18001,1595361930,26729.0,1,MYM
1595361948,18001,1595361948,26728.0,1,MYM
1595361959,18001,1595361959,26727.0,1,MYM
1595361968,18001,1595361968,26727.0,1,MYM
1595361969,18001,1595361969,26728.0,1,MYM
1595361977,18001,1595361977,26727.0,1,MYM
1595361991,18001,1595361991,26729.0,1,MYM
1595362017,18001,1595362017,26728.0,1,MYM
1595362022,18001,1595362022,26729.0,1,MYM
1595362024,18001,1595362024,26729.0,1,MYM
1595362027,18001,1595362027,26729.0,1,MYM
1595362038,18001,1595362038,26725.0,1,MYM
1595362039,18001,1595362039,26727.0,1,MYM
1595362044,18001,1595362044,26726.0,1,MYM
1595362047,18001,1595362047,26728.0,1,MYM
1595362050,18001,1595362050,26727.0,1,MYM
1595362058,18001,1595362058,26728.0,1,MYM
1595362062,18001,1595362062,26725.0,1,MYM
1595362071,18001,1595362071,26727.0,1,MYM
1595362073,18001,1595362073,26728.0,3,MYM
1595362076,18001,1595362076,26729.0,1,MYM
1595362085,18001,1595362085,26727.0,1,MYM
1595362092,18001,1595362092,26729.0,1,MYM
1595362093,18001,1595362093,26729.0,1,MYM
1595362096,18001,1595362096,26730.0,1,MYM
1595362100,18001,1595362100,26733.0,1,MYM
1595362114,18001,1595362114,26732.0,1,MYM
1595362120,18001,1595362120,26731.0,1,MYM
1595362131,18001,1595362131,26729.0,1,MYM
1595362132,18001,1595362132,26729.0,1,MYM
1595362134,18001,1595362134,26728.0,3,MYM
1595362142,18001,1595362142,26729.0,1,MYM
1595362147,18001,1595362147,26727.0,8,MYM
1595362159,18001,1595362159,26730.0,4,MYM
1595362161,18001,1595362161,26728.0,1,MYM
1595362164,18001,1595362164,26732.0,1,MYM
1595362176,18001,1595362176,26731.0,1,MYM
1595362178,18001,1595362178,26729.0,1,MYM
1595362180,18001,1595362180,26728.0,1,MYM
1595362185,18001,1595362185,26726.0,1,MYM
1595362194,18001,1595362194,26724.0,1,MYM
1595362197,18001,1595362197,26727.0,1,MYM
1595362198,18001,1595362198,26723.0,6,MYM
1595362200,18001,1595362200,26720.0,1,MYM
1595362201,18001,1595362201,26718.0,1,MYM
1595362202,18001,1595362202,26717.0,1,MYM
1595362204,18001,1595362204,26718.0,2,MYM
1595362205,18001,1595362205,26716.0,2,MYM
1595362208,18001,1595362208,26718.0,1,MYM
1595362209,18001,1595362209,26718.0,2,MYM
1595362216,18001,1595362216,26724.0,1,MYM
1595362226,18001,1595362226,26722.0,1,MYM
1595362230,18001,1595362230,26718.0,2,MYM
1595362231,18001,1595362231,26720.0,6,MYM
1595362254,18001,1595362254,26721.0,1,MYM
1595362265,18001,1595362265,26728.0,1,MYM
1595362270,18001,1595362270,26726.0,1,MYM
1595362279,18001,1595362279,26723.0,1,MYM
1595362281,18001,1595362281,26726.0,1,MYM
1595362282,18001,1595362282,26727.0,1,MYM
1595362286,18001,1595362286,26729.0,2,MYM
1595362288,18001,1595362288,26728.0,1,MYM
1595362291,18001,1595362291,26728.0,1,MYM
1595362292,18001,1595362292,26727.0,2,MYM
1595362298,18001,1595362298,26730.0,1,MYM
1595362299,18001,1595362299,26731.0,4,MYM
1595362304,18001,1595362304,26726.0,2,MYM
1595362306,18001,1595362306,26726.0,1,MYM
1595362307,18001,1595362307,26726.0,2,MYM
1595362310,18001,1595362310,26727.0,1,MYM
1595362313,18001,1595362313,26734.0,4,MYM
1595362314,18001,1595362314,26733.0,6,MYM
1595362316,18001,1595362316,26732.0,3,MYM
1595362324,18001,1595362324,26729.0,1,MYM
1595362336,18001,1595362336,26731.0,1,MYM
1595362339,18001,1595362339,26731.0,2,MYM
1595362340,18001,1595362340,26730.0,1,MYM
1595362352,18001,1595362352,26731.0,1,MYM
1595362357,18001,1595362357,26727.0,2,MYM
1595362361,18001,1595362361,26726.0,1,MYM
1595362362,18001,1595362362,26725.0,2,MYM
1595362367,18001,1595362367,26722.0,2,MYM
1595362376,18001,1595362376,26726.0,2,MYM
1595362377,18001,1595362377,26724.0,1,MYM
1595362380,18001,1595362380,26725.0,1,MYM
1595362384,18001,1595362384,26727.0,1,MYM
1595362385,18001,1595362385,26727.0,1,MYM
1595362389,18001,1595362389,26730.0,2,MYM
1595362392,18001,1595362392,26732.0,1,MYM
1595362395,18001,1595362395,26730.0,1,MYM
1595362396,18001,1595362396,26729.0,1,MYM
1595362399,18001,1595362399,26730.0,1,MYM
1595362401,18001,1595362401,26732.0,1,MYM
1595362403,18001,1595362403,26730.0,2,MYM
1595362404,18001,1595362404,26729.0,1,MYM
1595362414,18001,1595362414,26729.0,1,MYM
1595362434,18001,1595362434,26728.0,1,MYM
1595362435,18001,1595362435,26727.0,1,MYM
1595362438,18001,1595362438,26731.0,1,MYM
1595362440,18001,1595362440,26729.0,6,MYM
1595362441,18001,1595362441,26726.0,2,MYM
1595362442,18001,1595362442,26725.0,1,MYM
1595362443,18001,1595362443,26725.0,1,MYM
1595362444,18001,1595362444,26724.0,1,MYM
1595362445,18001,1595362445,26729.0,5,MYM
1595362460,18001,1595362460,26729.0,1,MYM
1595362468,18001,1595362468,26727.0,2,MYM
1595362469,18001,1595362469,26725.0,1,MYM
1595362470,18001,1595362470,26724.0,1,MYM
1595362472,18001,1595362472,26727.0,1,MYM
1595362474,18001,1595362474,26728.0,1,MYM
1595362475,18001,1595362475,26726.0,1,MYM
1595362477,18001,1595362477,26725.0,1,MYM
1595362478,18001,1595362478,26723.0,1,MYM
1595362480,18001,1595362480,26726.0,1,MYM
1595362481,18001,1595362481,26727.0,2,MYM
1595362482,18001,1595362482,26722.0,1,MYM
1595362483,18001,1595362483,26720.0,1,MYM
1595362484,18001,1595362484,26722.0,1,MYM
1595362485,18001,1595362485,26726.0,3,MYM
1595362490,18001,1595362490,26728.0,2,MYM
1595362492,18001,1595362492,26724.0,1,MYM
1595362493,18001,1595362493,26724.0,1,MYM
1595362494,18001,1595362494,26726.0,1,MYM
1595362495,18001,1595362495,26730.0,1,MYM
1595362497,18001,1595362497,26730.0,3,MYM
1595362498,18001,1595362498,26729.0,1,MYM
1595362499,18001,1595362499,26730.0,1,MYM
1595363400,18001,1595363400,26737.0,1,MYM
1595363401,18001,1595363401,26736.0,1,MYM
1595363402,18001,1595363402,26736.0,1,MYM
1595363409,18001,1595363409,26734.0,1,MYM
1595363413,18001,1595363413,26736.0,1,MYM
1595363414,18001,1595363414,26735.0,1,MYM
1595363415,18001,1595363415,26733.0,1,MYM
1595363416,18001,1595363416,26730.0,7,MYM
1595363417,18001,1595363417,26730.0,1,MYM
1595363418,18001,1595363418,26729.0,1,MYM
1595363419,18001,1595363419,26729.0,1,MYM
1595363420,18001,1595363420,26729.0,1,MYM
1595363422,18001,1595363422,26726.0,1,MYM
1595363423,18001,1595363423,26727.0,2,MYM
1595363424,18001,1595363424,26724.0,1,MYM
1595363426,18001,1595363426,26724.0,1,MYM
1595363427,18001,1595363427,26724.0,1,MYM
1595363432,18001,1595363432,26724.0,1,MYM
1595363436,18001,1595363436,26723.0,1,MYM
1595363437,18001,1595363437,26721.0,1,MYM
1595363440,18001,1595363440,26721.0,1,MYM
1595363441,18001,1595363441,26724.0,1,MYM
1595363442,18001,1595363442,26721.0,1,MYM
1595363445,18001,1595363445,26722.0,1,MYM
1595363448,18001,1595363448,26723.0,1,MYM
1595363449,18001,1595363449,26724.0,1,MYM
1595363452,18001,1595363452,26723.0,1,MYM
1595363454,18001,1595363454,26724.0,1,MYM
1595363460,18001,1595363460,26724.0,3,MYM
1595363471,18001,1595363471,26723.0,1,MYM
1595363473,18001,1595363473,26724.0,1,MYM
1595363485,18001,1595363485,26720.0,2,MYM
1595363489,18001,1595363489,26718.0,1,MYM
1595363490,18001,1595363490,26719.0,1,MYM
1595363491,18001,1595363491,26719.0,2,MYM
1595363492,18001,1595363492,26720.0,1,MYM
1595363494,18001,1595363494,26719.0,1,MYM
1595363495,18001,1595363495,26721.0,1,MYM
1595363496,18001,1595363496,26721.0,1,MYM
1595363498,18001,1595363498,26720.0,1,MYM
1595363503,18001,1595363503,26720.0,1,MYM
1595363509,18001,1595363509,26721.0,1,MYM
1595363518,18001,1595363518,26720.0,3,MYM
1595363523,18001,1595363523,26722.0,3,MYM
1595363530,18001,1595363530,26720.0,2,MYM
1595363535,18001,1595363535,26719.0,1,MYM
1595363536,18001,1595363536,26719.0,1,MYM
1595363546,18001,1595363546,26719.0,2,MYM
1595363550,18001,1595363550,26719.0,1,MYM
1595363559,18001,1595363559,26720.0,1,MYM
1595363566,18001,1595363566,26722.0,1,MYM
1595363582,18001,1595363582,26720.0,1,MYM
1595363583,18001,1595363583,26719.0,1,MYM
1595363598,18001,1595363598,26718.0,4,MYM
1595363601,18001,1595363601,26712.0,3,MYM
1595363605,18001,1595363605,26713.0,2,MYM
1595363617,18001,1595363617,26716.0,1,MYM
1595363620,18001,1595363620,26715.0,1,MYM
1595363621,18001,1595363621,26715.0,1,MYM
1595363628,18001,1595363628,26715.0,1,MYM
1595363631,18001,1595363631,26715.0,1,MYM
1595363632,18001,1595363632,26716.0,1,MYM
1595363636,18001,1595363636,26716.0,1,MYM
1595363637,18001,1595363637,26717.0,2,MYM
1595363642,18001,1595363642,26717.0,2,MYM
1595363656,18001,1595363656,26716.0,1,MYM
1595363660,18001,1595363660,26717.0,1,MYM
1595363662,18001,1595363662,26719.0,1,MYM
1595363664,18001,1595363664,26718.0,1,MYM
1595363668,18001,1595363668,26719.0,3,MYM
1595363670,18001,1595363670,26719.0,1,MYM
1595363673,18001,1595363673,26714.0,1,MYM
1595363674,18001,1595363674,26715.0,1,MYM
1595363676,18001,1595363676,26715.0,3,MYM
1595363685,18001,1595363685,26717.0,1,MYM
1595363693,18001,1595363693,26714.0,1,MYM
1595363696,18001,1595363696,26716.0,1,MYM
1595363698,18001,1595363698,26716.0,1,MYM
1595363700,18001,1595363700,26715.0,1,MYM
1595363716,18001,1595363716,26715.0,1,MYM
1595363734,18001,1595363734,26719.0,1,MYM
1595363735,18001,1595363735,26716.0,3,MYM
1595363736,18001,1595363736,26716.0,1,MYM
1595363749,18001,1595363749,26719.0,1,MYM
1595363761,18001,1595363761,26716.0,1,MYM
1595363770,18001,1595363770,26719.0,5,MYM
1595363776,18001,1595363776,26718.0,1,MYM
1595363781,18001,1595363781,26720.0,1,MYM
1595363790,18001,1595363790,26723.0,3,MYM
1595363792,18001,1595363792,26724.0,3,MYM
1595363807,18001,1595363807,26724.0,1,MYM
1595363809,18001,1595363809,26725.0,1,MYM
1595363814,18001,1595363814,26725.0,1,MYM
1595363826,18001,1595363826,26725.0,1,MYM
1595363829,18001,1595363829,26728.0,2,MYM
1595363832,18001,1595363832,26727.0,1,MYM
1595363839,18001,1595363839,26730.0,3,MYM
1595363846,18001,1595363846,26726.0,1,MYM
1595363851,18001,1595363851,26730.0,2,MYM
1595363852,18001,1595363852,26728.0,2,MYM
1595363857,18001,1595363857,26724.0,1,MYM
1595363886,18001,1595363886,26725.0,2,MYM
1595363899,18001,1595363899,26725.0,1,MYM
1595363909,18001,1595363909,26724.0,1,MYM
1595363913,18001,1595363913,26724.0,1,MYM
1595363922,18001,1595363922,26726.0,1,MYM
1595363934,18001,1595363934,26728.0,1,MYM
1595363937,18001,1595363937,26728.0,1,MYM
1595363951,18001,1595363951,26724.0,3,MYM
1595363952,18001,1595363952,26720.0,1,MYM
1595363963,18001,1595363963,26723.0,2,MYM
1595363979,18001,1595363979,26721.0,2,MYM
1595363992,18001,1595363992,26724.0,2,MYM
1595363994,18001,1595363994,26722.0,1,MYM
1595363995,18001,1595363995,26721.0,2,MYM
1595364002,18001,1595364002,26720.0,2,MYM
1595364003,18001,1595364003,26722.0,2,MYM
1595364021,18001,1595364021,26720.0,2,MYM
1595364024,18001,1595364024,26721.0,1,MYM
1595364035,18001,1595364035,26722.0,3,MYM
1595364038,18001,1595364038,26720.0,2,MYM
1595364045,18001,1595364045,26722.0,2,MYM
1595364081,18001,1595364081,26722.0,1,MYM
1595364084,18001,1595364084,26724.0,4,MYM
1595364098,18001,1595364098,26724.0,1,MYM
1595364109,18001,1595364109,26727.0,3,MYM
1595364115,18001,1595364115,26725.0,1,MYM
1595364135,18001,1595364135,26727.0,1,MYM
1595364141,18001,1595364141,26725.0,1,MYM
1595364150,18001,1595364150,26728.0,2,MYM
1595364162,18001,1595364162,26728.0,1,MYM
1595364175,18001,1595364175,26732.0,1,MYM
1595364182,18001,1595364182,26728.0,2,MYM
1595364184,18001,1595364184,26728.0,3,MYM
1595364189,18001,1595364189,26728.0,3,MYM
1595364193,18001,1595364193,26727.0,2,MYM
1595364223,18001,1595364223,26732.0,3,MYM
1595364224,18001,1595364224,26730.0,1,MYM
1595364228,18001,1595364228,26732.0,1,MYM
1595364229,18001,1595364229,26733.0,3,MYM
1595364230,18001,1595364230,26734.0,1,MYM
1595364232,18001,1595364232,26734.0,2,MYM
1595364236,18001,1595364236,26733.0,1,MYM
1595364238,18001,1595364238,26733.0,3,MYM
1595364239,18001,1595364239,26737.0,1,MYM
1595364240,18001,1595364240,26735.0,1,MYM
1595364246,18001,1595364246,26737.0,1,MYM
1595364251,18001,1595364251,26736.0,2,MYM
1595364259,18001,1595364259,26738.0,1,MYM
1595364263,18001,1595364263,26739.0,1,MYM
1595364272,18001,1595364272,26738.0,1,MYM
1595364278,18001,1595364278,26738.0,1,MYM
1595364288,18001,1595364288,26740.0,1,MYM
1595364298,18001,1595364298,26738.0,1,MYM
1595364312,18001,1595364312,26739.0,2,MYM
1595364324,18001,1595364324,26738.0,1,MYM
1595364329,18001,1595364329,26741.0,1,MYM
1595364335,18001,1595364335,26740.0,1,MYM
1595364336,18001,1595364336,26740.0,1,MYM
1595364337,18001,1595364337,26742.0,1,MYM
1595364339,18001,1595364339,26742.0,1,MYM
1595364341,18001,1595364341,26741.0,2,MYM
1595364354,18001,1595364354,26739.0,1,MYM
1595364363,18001,1595364363,26742.0,1,MYM
1595364371,18001,1595364371,26741.0,1,MYM
1595364382,18001,1595364382,26741.0,1,MYM
1595364383,18001,1595364383,26739.0,3,MYM
1595364398,18001,1595364398,26742.0,3,MYM
1595364422,18001,1595364422,26740.0,1,MYM
1595364432,18001,1595364432,26740.0,2,MYM
1595364442,18001,1595364442,26740.0,1,MYM
1595364443,18001,1595364443,26739.0,2,MYM
1595364451,18001,1595364451,26738.0,2,MYM
1595364453,18001,1595364453,26739.0,1,MYM
1595364454,18001,1595364454,26741.0,1,MYM
1595364460,18001,1595364460,26738.0,4,MYM
1595364462,18001,1595364462,26737.0,1,MYM
1595364463,18001,1595364463,26737.0,1,MYM
1595364471,18001,1595364471,26737.0,2,MYM
1595364474,18001,1595364474,26736.0,1,MYM
1595364484,18001,1595364484,26739.0,2,MYM
1595364490,18001,1595364490,26734.0,2,MYM
1595364498,18001,1595364498,26735.0,1,MYM
1595364501,18001,1595364501,26734.0,1,MYM
1595364520,18001,1595364520,26737.0,1,MYM
1595364523,18001,1595364523,26738.0,1,MYM
